Crawler Type,Parallel Method,Workers,Decay Coefficient,Inheritance Coefficient,Time,Total Images,Total Scraped
Focused,Threading,8,0.9,0.1,32100,26839,7800
Focused,Threading,8,0.9,0.1,31800,26771,7752
Focused,Threading,8,0.9,0.1,31500,26771,7704
Focused,Threading,8,0.9,0.1,31200,26575,7664
Focused,Threading,8,0.9,0.1,30900,26398,7624
Focused,Threading,8,0.9,0.1,30600,26313,7576
Focused,Threading,8,0.9,0.1,30300,26167,7528
Focused,Threading,8,0.9,0.1,30000,26138,7480
Focused,Threading,8,0.9,0.1,29700,25953,7432
Focused,Threading,8,0.9,0.1,29400,25758,7376
Focused,Threading,8,0.9,0.1,29100,25679,7336
Focused,Threading,8,0.9,0.1,28800,25525,7288
Focused,Threading,8,0.9,0.1,28500,25174,7248
Focused,Threading,8,0.9,0.1,28200,25008,7200
Focused,Threading,8,0.9,0.1,27900,24770,7160
Focused,Threading,8,0.9,0.1,27600,24609,7112
Focused,Threading,8,0.9,0.1,27300,24332,7072
Focused,Threading,8,0.9,0.1,27000,24267,7024
Focused,Threading,8,0.9,0.1,26700,24151,6976
Focused,Threading,8,0.9,0.1,26400,23936,6928
Focused,Threading,8,0.9,0.1,26100,23811,6880
Focused,Threading,8,0.9,0.1,25800,23697,6832
Focused,Threading,8,0.9,0.1,25500,23647,6776
Focused,Threading,8,0.9,0.1,25200,23602,6720
Focused,Threading,8,0.9,0.1,24900,23479,6672
Focused,Threading,8,0.9,0.1,24600,23285,6624
Focused,Threading,8,0.9,0.1,24300,23210,6568
Focused,Threading,8,0.9,0.1,24000,22997,6512
Focused,Threading,8,0.9,0.1,23700,22727,6464
Focused,Threading,8,0.9,0.1,23400,22556,6408
Focused,Threading,8,0.9,0.1,23100,22271,6360
Focused,Threading,8,0.9,0.1,22800,22020,6320
Focused,Threading,8,0.9,0.1,22500,21876,6264
Focused,Threading,8,0.9,0.1,22200,21789,6208
Focused,Threading,8,0.9,0.1,21900,21632,6176
Focused,Threading,8,0.9,0.1,21600,21434,6136
Focused,Threading,8,0.9,0.1,21300,21287,6088
Focused,Threading,8,0.9,0.1,21000,21118,6040
Focused,Threading,8,0.9,0.1,20700,20923,6000
Focused,Threading,8,0.9,0.1,20400,20792,5944
Focused,Threading,8,0.9,0.1,20100,20611,5888
Focused,Threading,8,0.9,0.1,19800,20546,5824
Focused,Threading,8,0.9,0.1,19500,20328,5776
Focused,Threading,8,0.9,0.1,19200,20081,5720
Focused,Threading,8,0.9,0.1,18900,19897,5672
Focused,Threading,8,0.9,0.1,18600,19628,5616
Focused,Threading,8,0.9,0.1,18300,19392,5560
Focused,Threading,8,0.9,0.1,18000,18980,5512
Focused,Threading,8,0.9,0.1,17700,18800,5456
Focused,Threading,8,0.9,0.1,17400,18504,5408
Focused,Threading,8,0.9,0.1,17100,18206,5352
Focused,Threading,8,0.9,0.1,16800,17770,5304
Focused,Threading,8,0.9,0.1,16500,17538,5256
Focused,Threading,8,0.9,0.1,16200,17303,5200
Focused,Threading,8,0.9,0.1,15900,17166,5136
Focused,Threading,8,0.9,0.1,15600,17052,5080
Focused,Threading,8,0.9,0.1,15300,16746,5032
Focused,Threading,8,0.9,0.1,15000,16685,5008
Focused,Threading,8,0.9,0.1,14700,16570,4984
Focused,Threading,8,0.9,0.1,14400,16438,4952
Focused,Threading,8,0.9,0.1,14100,16141,4896
Focused,Threading,8,0.9,0.1,13800,15801,4808
Focused,Threading,8,0.9,0.1,13500,15575,4736
Focused,Threading,8,0.9,0.1,13200,15285,4664
Focused,Threading,8,0.9,0.1,12900,15022,4584
Focused,Threading,8,0.9,0.1,12600,14665,4520
Focused,Threading,8,0.9,0.1,12300,14356,4440
Focused,Threading,8,0.9,0.1,12000,14159,4360
Focused,Threading,8,0.9,0.1,11700,13692,4288
Focused,Threading,8,0.9,0.1,11400,13599,4192
Focused,Threading,8,0.9,0.1,11100,13538,4064
Focused,Threading,8,0.9,0.1,10800,13462,3960
Focused,Threading,8,0.9,0.1,10500,13416,3896
Focused,Threading,8,0.9,0.1,10200,13399,3840
Focused,Threading,8,0.9,0.1,9900,13354,3792
Focused,Threading,8,0.9,0.1,9600,13260,3744
Focused,Threading,8,0.9,0.1,9300,13135,3656
Focused,Threading,8,0.9,0.1,9000,13019,3592
Focused,Threading,8,0.9,0.1,8700,12788,3464
Focused,Threading,8,0.9,0.1,8400,12289,3352
Focused,Threading,8,0.9,0.1,8100,11680,3240
Focused,Threading,8,0.9,0.1,7800,10931,3144
Focused,Threading,8,0.9,0.1,7500,10761,3016
Focused,Threading,8,0.9,0.1,7200,9984,2912
Focused,Threading,8,0.9,0.1,6900,9378,2824
Focused,Threading,8,0.9,0.1,6600,9130,2696
Focused,Threading,8,0.9,0.1,6300,8842,2568
Focused,Threading,8,0.9,0.1,6000,8450,2448
Focused,Threading,8,0.9,0.1,5700,8224,2304
Focused,Threading,8,0.9,0.1,5400,7887,2160
Focused,Threading,8,0.9,0.1,5100,7200,2032
Focused,Threading,8,0.9,0.1,4800,6769,1888
Focused,Threading,8,0.9,0.1,4500,6758,1696
Focused,Threading,8,0.9,0.1,4200,6376,1544
Focused,Threading,8,0.9,0.1,3900,6050,1384
Focused,Threading,8,0.9,0.1,3600,5700,1256
Focused,Threading,8,0.9,0.1,3300,5301,1136
Focused,Threading,8,0.9,0.1,3000,5015,1000
Focused,Threading,8,0.9,0.1,2700,4312,856
Focused,Threading,8,0.9,0.1,2400,3310,752
Focused,Threading,8,0.9,0.1,2100,2653,576
Focused,Threading,8,0.9,0.1,1800,1933,456
Focused,Threading,8,0.9,0.1,1500,1622,256
Focused,Threading,8,0.9,0.1,1200,868,128
Focused,Threading,8,0.9,0.1,900,842,120
Focused,Threading,8,0.9,0.1,600,792,112
Focused,Threading,8,0.9,0.1,300,699,104
Focused,Threading,8,0.9,0.1,0,0,0
